ts,model,profile,lang,kind,run,ttft_ms,total_ms,prompt_eval_count,eval_count,eval_duration_ms,tok_s,done_reason,chars_in,chars_out,tag_ok,loaded_before
2026-09-21T13:23:47.165Z,translategemma:12b,translategemma,zh-Hant,single,1,387.9,5916.74,206,183,5529.09,33.1,stop,164,660,false,true
2026-09-21T13:23:52.807Z,translategemma:12b,translategemma,zh-Hant,single,2,86.29,5639.33,206,183,5553.16,32.95,stop,164,660,false,true
2026-09-21T13:23:58.492Z,translategemma:12b,translategemma,zh-Hant,single,3,87.62,5683.82,206,183,5596.51,32.7,stop,164,660,false,true
2026-09-21T13:24:04.107Z,translategemma:12b,translategemma,th,single,1,512.79,5614.3,262,167,5101.79,32.73,stop,474,611,false,true
2026-09-21T13:24:09.354Z,translategemma:12b,translategemma,th,single,2,93.96,5246.28,262,167,5152.45,32.41,stop,474,611,false,true
2026-09-21T13:24:14.622Z,translategemma:12b,translategemma,th,single,3,97.73,5267.51,262,167,5169.98,32.3,stop,474,611,false,true
2026-09-21T13:24:19.913Z,translategemma:27b,translategemma,,warmup,0,,5287.49,,,,,load,,,,false
2026-09-21T13:24:30.779Z,translategemma:27b,translategemma,en,single,1,826.09,10865.77,186,161,10040.07,16.04,stop,517,554,true,false
2026-09-21T13:24:41.145Z,translategemma:27b,translategemma,en,single,2,175.42,10363.43,186,161,10188.34,15.8,stop,517,554,true,false
2026-09-21T13:24:51.859Z,translategemma:27b,translategemma,en,single,3,185.62,10712.79,186,161,10527.32,15.29,stop,517,554,true,false
2026-09-21T13:25:04.014Z,translategemma:27b,translategemma,ru,single,1,925.9,12153.97,226,167,11228.43,14.87,stop,548,589,true,false
2026-09-21T13:25:15.769Z,translategemma:27b,translategemma,ru,single,2,232.52,11753.98,226,167,11521.68,14.49,stop,548,589,true,false
2026-09-21T13:25:27.284Z,translategemma:27b,translategemma,ru,single,3,210.03,11514.05,226,167,11304.05,14.77,stop,548,589,true,false
2026-09-21T13:25:40.881Z,translategemma:27b,translategemma,zh-Hans,single,1,1105.59,13595.66,198,188,12490.46,15.05,stop,174,662,true,false
2026-09-21T13:25:53.555Z,translategemma:27b,translategemma,zh-Hans,single,2,207.09,12672.42,198,188,12465.79,15.08,stop,174,662,true,false
2026-09-21T13:26:06.358Z,translategemma:27b,translategemma,zh-Hans,single,3,211.73,12802.7,198,188,12591.17,14.93,stop,174,662,true,false
2026-09-21T13:26:19.697Z,translategemma:27b,translategemma,zh-Hant,single,1,1162.72,13338.08,206,178,12175.71,14.62,stop,164,618,true,false
2026-09-21T13:26:32.139Z,translategemma:27b,translategemma,zh-Hant,single,2,251.02,12440.42,206,176,12189.52,14.44,stop,164,612,true,false
2026-09-21T13:26:44.631Z,translategemma:27b,translategemma,zh-Hant,single,3,255.87,12491.37,206,176,12235.58,14.38,stop,164,612,true,false
2026-09-21T13:26:57.738Z,translategemma:27b,translategemma,th,single,1,1649.56,13106.57,262,164,11457.2,14.31,stop,474,575,true,false
2026-09-21T13:27:09.218Z,translategemma:27b,translategemma,th,single,2,250.34,11478.91,262,164,11228.67,14.61,stop,474,575,true,false
2026-09-21T13:27:20.999Z,translategemma:27b,translategemma,th,single,3,237.38,11780.47,262,164,11543.07,14.21,stop,474,575,true,false
